LTL Formula,Trace,Type
(x1 U x2) | G(x1 -> X(!x1)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive
(x1 U x2) | G(x1 -> X(!x1)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(X(x1) & F(x1 -> x2)),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];...",Positive
G(X(x1) & F(x1 -> x2)),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
X(!x1 U x1) -> F(!x1),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive
X(!x1 U x1) -> F(!x1),[x1 = TRUE];[x1 = TRUE];...,Negative
F(x2 & x1) -> (x1 U x2) | (X(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];...",Positive
F(x2 & x1) -> (x1 U x2) | (X(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
x1 -> F(G(x1)),[x1 = TRUE];[x1 = TRUE];...,Positive
x1 -> F(G(x1)),[x1 = TRUE];[x1 = FALSE];...,Negative
((F(x1) & F(x2) & F(x3)) -> x4) & (!F(x1) | !F(x2) | !F(x3) -> !x4),"[x1 = TRUE, x2 = TRUE, x3 = TRUE, x4 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];...",Positive
((F(x1) & F(x2) & F(x3)) -> x4) & (!F(x1) | !F(x2) | !F(x3) -> !x4),"[x1 = TRUE, x2 = TRUE, x3 = TRUE, x4 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];...",Negative
G(((!x1) -> (!x2)) & ((!x2)->(!x1))) & F(x1 & x2),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
G(((!x1) -> (!x2)) & ((!x2)->(!x1))) & F(x1 & x2),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
X(x1)->X(X(X(x2))),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
X(x1)->X(X(X(x2))),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
G(x1) & !x2 & x1!=x2 -> G(!x2),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
G(x1) & !x2 & x1!=x2 -> G(!x2),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
F(G(x1)) | G(F(x1)),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Positive
F(G(x1)) | G(F(x1)),[x1 = FALSE];[x1 = FALSE];...,Negative
x1 -> F(!x1) & !x1 -> F(x1),[x1 = FALSE];[x1 = FALSE];...,Positive
x1 -> F(!x1) & !x1 -> F(x1),True,Negative
(x1 <-> x2) U (x1 U x3),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Positive
(x1 <-> x2) U (x1 U x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Negative
G(!(x1 & x2)) & G(x1 | x2),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive
G(!(x1 & x2)) & G(x1 | x2),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(x1 | x2) & X(G(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive
G(x1 | x2) & X(G(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G((!x1 & X(x1)) -> X(F(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive
G((!x1 & X(x1)) -> X(F(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(F(x1) | F(x2)),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
G(F(x1) | F(x2)),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
x1 -> X(!x1) & F(x2),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
x1 -> X(!x1) & F(x2),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
F(x1) -> G(x1),[x1 = TRUE];[x1 = TRUE];...,Positive
F(x1) -> G(x1),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative
G(F(x1 -> X(x2 U !x3))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Positive
G(F(x1 -> X(x2 U !x3))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];...",Negative
G(F(x1 -> !x1)),[x1 = FALSE];[x1 = FALSE];...,Positive
G(F(x1 -> !x1)),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Negative
G(F(G(x1))) & F(G(F(x2))),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];...",Positive
G(F(G(x1))) & F(G(F(x2))),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
x1 -> X(X(X(x1))),[x1 = FALSE];[x1 = FALSE];...,Positive
x1 -> X(X(X(x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Negative
X(X(F(X(x1)))),[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Positive
X(X(F(X(x1)))),[x1 = FALSE];[x1 = FALSE];...,Negative
F(x1) -> G(x2),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive
F(x1) -> G(x2),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Negative
x1 -> X(X(X(x1))),[x1 = FALSE];[x1 = FALSE];...,Positive
x1 -> X(X(X(x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Negative
(x1 U x2) & G(x1),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive
(x1 U x2) & G(x1),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(x1 -> (X(!x1) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];...,Positive
G(x1 -> (X(!x1) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative
x1 -> X(X(X(x1))),[x1 = FALSE];[x1 = FALSE];...,Positive
x1 -> X(X(X(x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Negative
X(X(F(X(x1)))),[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Positive
X(X(F(X(x1)))),[x1 = FALSE];[x1 = FALSE];...,Negative
(F(x1)) -> (G(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive
(F(x1)) -> (G(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Negative
((x1) U (x2)) & G(x1),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive
((x1) U (x2)) & G(x1),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(x1 -> (X(!x1 ) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];...,Positive
G(x1 -> (X(!x1 ) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative
